artist_name,followers,monthly_listeners,popularity_score,instagram_url,email
Tiffany Hudson,98468,855905,171.3540922898987,https://instagram.com/tiffanyhudson/,
BabyJake,67930,946973,153.60807275336873,https://instagram.com/itsbabyjake/,
Girlfriends,51409,998400,144.22190474199795,https://instagram.com/jj.__.jr,
Miles Caton,52203,932373,138.36289557292756,https://instagram.com/_milescaton_/,
Buckshot,71703,744422,136.80741607792316,https://instagram.com/buckeshot,
Reo Cragun,92180,469405,127.46459352312473,https://instagram.com/reocragun,
pluko,93559,447417,126.49116083497067,https://instagram.com/pluko,
Rostam,85122,433816,117.73990635842983,https://instagram.com/matsor,
OCT,90189,372037,116.05090610760419,https://instagram.com/octofficialmusic/,
Deathpact,90081,317121,110.50382613603111,https://instagram.com/deathpact,
John Glacier,45672,708976,110.45394423310063,https://instagram.com/johnglacier/profilecard/?igsh=OTQ2OTd3cTBkYW04,
501Bryze,60264,580039,110.45241524183771,https://instagram.com/501bryze,
EVAN GIIA,46176,703749,110.3770860331926,https://instagram.com/evangiia,
Noah Guy,53366,621259,108.49407180580522,https://instagram.com/imnoahguy,
Mr Little Jeans,88555,306698,108.13038055822638,https://instagram.com/mymrlittlejeans/,
Onell Diaz,75569,413362,107.3293034014743,https://instagram.com/onelldiazmusic,
Run River North,80349,361389,106.36213891559717,https://instagram.com/runrivernorth/,
Vinny West,65247,491549,106.03772522051753,https://instagram.com/vinnywest,bookings4vinnywest@gmail.com
Timo Krantz,16407,903157,104.06218071986956,https://instagram.com/timokrantz/,
The KVB,92781,216179,102.85020588604155,https://instagram.com/thekvb/,
Michael Minelli,78784,331443,102.01613888772766,https://instagram.com/Mrminelli,
Kyle Landry,75549,353190,101.3375736800301,https://instagram.com/kylelandrypiano,
R.L. Beats,13815,869034,98.4005894402408,https://instagram.com/rlbeats,
K Suave,77672,282624,96.19369870267408,https://instagram.com/Ksuave_1,
Larry Gatlin & The Gatlin Brothers,95559,121787,95.9153244011538,https://instagram.com/thegatlinbrothers,
Sorry Mom,92052,152378,95.87624054178336,https://instagram.com/sorrymomtheband,wearesorrymom@gmail.com
Miso,95821,107193,94.6961815280855,https://instagram.com/o0omiso0o,
Zyra,9078,860704,93.41828100831904,https://instagram.com/zyramusicofficial,
